mr_section,record_type,objective_id,objective_name,coverage_status,player_facing_cue,player_facing_location,completion_status,notes
MR-001,summary,,MR-001 row count,summary,Internal coverage summary,MR-001,76 objective rows tracked,74 package parent rows plus Survival food/warmth and Camping Supplies system rows; 0 unresolved rows
MR-001,objective,OBJ-000479,Survival Mode,installed_parent_package_confirmed_and_activation_staged,Official AE bundle verified; Survival Mode prompt planned,MR-001,staged_for_mr002_activation,Player guide confirms Survival Mode is part of the AE setup but does not mark the checklist cue in MR-001; activation occurs at the post-Helgen prompt in MR-002
MR-001,objective,OBJ-000480,Arcane Accessories,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000481,Arcane Archer Pack,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000482,Chrysamere,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000483,Divine Crusader,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000484,Plague of the Dead,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000485,Ruin's Edge,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000486,Staff of Sheogorath,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000487,Stendarr's Hammer,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000488,Dwarven Armored Mudcrab,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000489,Lord's Mail,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000490,Adventurer's Backpack,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000491,Camping,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000492,Nix-Hound,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000493,Shadowrend,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000494,Tundra Homestead,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000495,Myrwatch,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000496,Nordic Jewelry,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000497,Pets of Skyrim,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000498,Rare Curios,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000499,Bone Wolf,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000500,Staff of Hasedoki,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000501,Wild Horses,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000502,Civil War Champions,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000503,Elite Crossbows,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000504,Forgotten Seasons,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000505,Saturalia Holiday Pack,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
MR-001,objective,OBJ-000506,Sunder & Wraithguard,installed_parent_package_confirmed,Official AE bundle verified,MR-001,complete_for_parent_package_installation,Player guide confirms official AE bundle once; child content is routed in later MR sections
